Mã sản phẩm,Tên sản phẩm,Thương hiệu,Danh mục,Giá lẻ (VND),Số lượng/thùng,Giá thùng (VND),Mô tả,Hình ảnh,Ngày tạo,Ngày cập nhật
"OvvBsHIJkxZ6mAZCwuUR","Turbo Đỏ Lon","Turbo","Nước mát",20000,24,420000,"","https://i.ibb.co/2YPwkw8y/Ovv-Bs-HIJkx-Z6m-AZCwu-UR-detail.jpg","11:59:34 23/6/2025","20:45:23 30/9/2025"
"YXAbA7bxB2PaKdi9gwYY","Turbo Xanh Lon","Turbo","Nước mát",20000,24,320000,"","https://i.ibb.co/Sw7DWfbd/YXAb-A7bx-B2-Pa-Kdi9gw-YY-detail.jpg","10:48:37 23/6/2025","20:45:23 30/9/2025"
"abro_abro_2_th_nh_ph_n","Abro 2 thành phần","Abro","Keo",80000,12,960000,"","https://i.ibb.co/Vc6F2gtS/abro-abro-2-th-nh-ph-n-detail.jpg","19:18:01 20/6/2025","20:45:23 30/9/2025"
"abro_abro_b_ng_l_p_1750602495139","ABRO Bóng lốp","Abro","Bọt rửa xe",120000,12,1440000,"","https://i.ibb.co/p6ZnF1QM/abro-abro-b-ng-l-p-1750602495139-retry-detail.jpg","21:28:15 22/6/2025","20:45:23 30/9/2025"
"abro_abro_b_p_d_u","Abro Bép dầu","Abro","Phụ gia",80000,12,930000,"","https://i.ibb.co/hxNkp0rG/abro-abro-b-p-d-u-retry-detail.jpg","19:18:01 20/6/2025","20:45:23 30/9/2025"
"abro_abro_b_p_x_ng","Abro Bép xăng","Abro","Phụ gia",80000,12,930000,"","https://i.ibb.co/zVgfjPWr/abro-abro-b-p-x-ng-retry-detail.jpg","19:18:01 20/6/2025","20:45:23 30/9/2025"
"abro_abro_keo_gio_ng_999","Abro Keo gioăng 999","Abro","Keo",80000,12,960000,"","https://i.ibb.co/3mKPFszc/abro-abro-keo-gio-ng-999-detail.jpg","19:18:02 20/6/2025","20:45:23 30/9/2025"
"abro_abro_mo_chiu_nhiet_28122327","Abro Mỡ chịu nhiệt","Abro","Mỡ",130000,12,1560000,"","https://i.ibb.co/3YSty7L8/abro-abro-mo-chiu-nhiet-28122327-retry-detail.jpg","08:22:01 24/6/2025","20:45:23 30/9/2025"
"abro_abro_nh_t_nh_a","Abro Nhớt nhựa","Abro","Phụ gia",90000,12,1050000,"","https://i.ibb.co/Rkxdxryn/abro-abro-nh-t-nh-a-retry-detail.jpg","19:18:01 20/6/2025","20:45:23 30/9/2025"
"abro_abro_nh_t_s_t","Abro Nhớt sắt","Abro","Phụ gia",75000,24,1750000,"","https://i.ibb.co/4nKD3cLn/abro-abro-nh-t-s-t-detail.jpg","19:18:01 20/6/2025","20:45:23 30/9/2025"
